id_registro,origem_arquivo,numero_oficio,unidade,classe,recebido,data_recebimento,prazo_resposta_dias,data_limite_resposta,respondido,data_resposta,status_prazo,observacoes,acoes_feitos_atual_raw,tabela_indicadores_botoes_raw
1,documento.csv,02.16.0153.0356925.2026-79,05ª PROMOTORIA DE JUSTIÇA,Notícia de Fato,,,,,,,,,,
2,documento.csv,04.16.0153.0347803.2026-56,05ª PROMOTORIA DE JUSTIÇA,Inquérito Civil,,,,,,,,,,
3,documento.csv,30.16.0153.0319063.2025-82,05ª PROMOTORIA DE JUSTIÇA,Procedimento Administrativo de acompanhamento de TAC,,,,,,,,,,
4,documento.csv,31.16.0153.0258012.2025-24,05ª PROMOTORIA DE JUSTIÇA,Procedimento Administrativo de acompanhamento de Políticas Públicas,,,,,,,,,,
5,documento.csv,04.16.0153.0236807.2025-39,05ª PROMOTORIA DE JUSTIÇA,Inquérito Civil,,,,,,,,,,
6,documento.csv,04.16.0153.0232967.2025-26,05ª PROMOTORIA DE JUSTIÇA,Inquérito Civil,,,,,,,,,,
7,documento.csv,33.16.0153.0224668.2025-21,05ª PROMOTORIA DE JUSTIÇA,Procedimento Administrativo de tutela de interesses individuais indisponíveis,,,,,,,,,,
8,documento (1).csv,02.16.0153.0363520.2026-09,05ª PROMOTORIA DE JUSTIÇA,Notícia de Fato,,,,,,,,,,
9,documento (1).csv,02.16.0153.0363486.2026-54,05ª PROMOTORIA DE JUSTIÇA,Notícia de Fato,,,,,,,,,,
10,documento (1).csv,02.16.0153.0363377.2026-87,05ª PROMOTORIA DE JUSTIÇA,Notícia de Fato,,,,,,,,,,
11,documento (1).csv,02.16.0153.0358265.2026-80,05ª PROMOTORIA DE JUSTIÇA,Notícia de Fato,,,,,,,,,,
12,documento (1).csv,04.16.0153.0345926.2026-04,05ª PROMOTORIA DE JUSTIÇA,Inquérito Civil,,,,,,,,,,
13,documento (1).csv,04.16.0153.0332828.2026-85,05ª PROMOTORIA DE JUSTIÇA,Inquérito Civil,,,,,,,,,,
14,documento (1).csv,31.16.0153.0309217.2025-30,05ª PROMOTORIA DE JUSTIÇA,Procedimento Administrativo de acompanhamento de Políticas Públicas,,,,,,,,,,
15,documento (1).csv,04.16.0153.0296281.2025-76,05ª PROMOTORIA DE JUSTIÇA,Inquérito Civil,,,,,,,,,,
16,documento (1).csv,04.16.0153.0284666.2025-80,05ª PROMOTORIA DE JUSTIÇA,Inquérito Civil,,,,,,,,,,
17,documento (1).csv,04.16.0153.0282491.2025-23,05ª PROMOTORIA DE JUSTIÇA,Inquérito Civil,,,,,,,,,,
18,documento (1).csv,04.16.0153.0219034.2025-51,05ª PROMOTORIA DE JUSTIÇA,Inquérito Civil,,,,,,,,,,
19,documento (1).csv,04.16.0153.0198696.2025-60,05ª PROMOTORIA DE JUSTIÇA,Inquérito Civil,,,,,,,,,,
20,documento (1).csv,31.16.0153.0081718.2024-78,05ª PROMOTORIA DE JUSTIÇA,Procedimento Administrativo de acompanhamento de Políticas Públicas,,,,,,,,,,
